1766492125,-0.01389,-0.02672,0.00618,0.81771,-0.56265,-0.11863,-0.02656,-0.02383,-0.09752,0.02797,
1766492126,-0.00179,-0.00985,0.01934,0.80571,-0.59068,-0.04353,-0.00505,-0.00562,-0.09374,0.06471,
1766492126,0.02357,-0.05417,0.03666,0.82329,-0.56673,-0.01153,-0.02973,0.13212,-0.45851,0.11630,
1766492126,0.01491,-0.08950,0.03896,0.82045,-0.57084,-0.01330,-0.02872,0.10036,-0.56600,0.10026,
1766492126,0.03835,-0.09050,0.07045,0.81996,-0.57125,0.03082,-0.01986,0.26238,-0.52764,0.17148,
1766492126,0.03122,0.03203,0.08415,0.79717,-0.60250,0.03851,-0.00563,0.14621,-0.00270,0.15064,
1766492126,0.09117,-0.23002,0.05415,0.83834,-0.54357,0.03637,0.01980,0.39992,-0.98624,0.02187,
1766492126,0.10459,-0.21250,0.03676,0.78875,-0.61387,0.03141,0.00721,0.44599,-0.80253,-0.03760,
1766492126,0.15054,-0.24251,0.01629,0.76613,-0.64175,0.03473,-0.00059,0.58754,-0.87672,-0.10217,
1766492126,0.22629,-0.26463,0.01481,0.74941,-0.66129,0.03252,-0.00437,0.79376,-0.90578,-0.16592,
1766492126,0.27076,-0.36088,-0.01664,0.75747,-0.65182,0.03707,0.00271,0.87778,-1.08240,-0.26639,
1766492126,0.40618,-0.40963,-0.03075,0.76255,-0.64494,0.04652,0.02015,1.16393,-1.13854,-0.32671,
1766492126,0.39798,-0.57263,-0.07550,0.77086,-0.63483,0.04664,0.02423,1.14378,-1.40783,-0.48433,
1766492126,0.51603,-0.58134,-0.09339,0.77422,-0.62997,0.05148,0.03268,1.30170,-1.32823,-0.53094,
1766492126,0.57841,-0.65375,-0.15460,0.77896,-0.62310,0.05900,0.03842,1.36579,-1.41257,-0.61028,
1766492126,0.67018,-0.58360,-0.23637,0.79061,-0.60860,0.05645,0.03690,1.41736,-1.19177,-0.72422,
1766492127,0.68417,-0.84341,-0.28759,0.79082,-0.60741,0.06263,0.04165,1.47203,-1.62740,-0.81624,
1766492127,0.16931,-0.01608,0.19135,0.75793,-0.64894,0.06446,0.01630,0.48458,-0.24825,0.01689,
1766492127,1.12796,-1.51927,-0.01691,0.79803,-0.56665,0.16876,0.11654,2.32027,-2.84805,-0.51810,
1766492127,1.55245,-0.49847,0.68713,0.75844,-0.59204,0.25680,0.09112,2.99624,-1.39039,0.45147,
1766492127,1.61376,0.18085,0.91969,0.67798,-0.67613,0.25577,0.13333,2.89249,-0.01934,1.08460,
1766492127,1.29866,0.74468,1.38446,0.63413,-0.68713,0.30908,0.17377,2.49247,0.99504,1.85032,
1766492127,1.72893,-3.31526,0.32927,0.84258,-0.41595,0.29289,0.17678,2.85875,-5.79328,-0.24938,
1766492127,2.27835,-3.95569,-0.13554,0.87587,-0.31929,0.32713,0.15456,3.56772,-6.47369,-1.15262,
1766492127,2.31567,-3.49096,0.89545,0.82825,-0.40315,0.37149,0.11603,3.55499,-5.41201,0.83933,
1766492127,2.63141,-5.17216,-0.21177,0.89253,-0.24499,0.34047,0.16570,3.82885,-7.90462,-1.33534,
1766492127,2.32511,-7.29772,-0.70028,0.90610,-0.07193,0.40494,0.09917,3.09867,-10.86825,-2.27590,
1766492127,2.96469,-6.43007,-0.82864,0.93040,-0.16493,0.29189,0.14815,4.01335,-9.06786,-2.29305,
1766492127,3.27124,-7.44988,-1.34544,0.94128,-0.12429,0.28884,0.12293,4.28593,-10.15331,-3.21768,
1766492127,4.02101,-9.18313,-2.41264,0.92996,-0.02546,0.35799,0.07977,5.11508,-12.31389,-5.07031,
1766492127,3.76303,-8.22757,-1.89370,0.95353,-0.13409,0.22851,0.14349,4.67152,-10.35776,-3.77236,
1766492128,4.45040,-12.78641,-4.13297,0.91872,0.30231,0.25316,0.02205,5.22592,-16.87030,-7.63202,
1766492128,4.24308,-11.58983,-3.01363,0.97046,0.12489,0.17570,0.10831,4.93106,-14.24502,-5.36867,
1766492128,3.32547,-14.28040,-3.54503,0.93373,0.20230,0.27763,0.10068,3.42959,-17.21474,-6.48022,
1766492128,1.53346,-16.59136,-4.05005,0.90746,0.29283,0.28311,0.10302,0.75263,-19.68538,-7.44741,
1766492128,3.36609,-15.89778,-3.61466,0.92585,0.16866,0.32393,0.09705,3.09955,-17.81339,-6.33001,
1766492128,1.64418,-19.44684,-5.48620,0.87825,0.32132,0.34042,0.09769,0.49672,-21.58120,-9.41402,
1766492128,1.21621,-20.44040,-5.40830,0.88709,0.28057,0.35789,0.07911,-0.14521,-21.75852,-9.06029,
1766492128,-0.07969,-22.51517,-6.53133,0.86062,0.32781,0.38272,0.07346,-1.95187,-23.29461,-10.69550,
1766492128,-0.87148,-24.33299,-7.29320,0.84887,0.35327,0.38837,0.06149,-3.09292,-24.50023,-11.63850,
